csv_format_03

Number of lines of data:
152
[number of spectra]
1
P Cal. info for CPS-1, Finger d8, 2.-mm slit
X (cm),P Energy (MeV)
-1.200000e+00 , 8.569567e+00
-1.151020e+00 , 8.693241e+00
-1.102041e+00 , 8.819570e+00
-1.053061e+00 , 8.948632e+00
-1.004081e+00 , 9.080506e+00
-9.551019e-01 , 9.215273e+00
-9.061223e-01 , 9.353011e+00
-8.571427e-01 , 9.493799e+00
-8.081632e-01 , 9.637717e+00
-7.591836e-01 , 9.784844e+00
-7.102040e-01 , 9.935260e+00
-6.612244e-01 , 1.008817e+01
-6.122448e-01 , 1.024389e+01
-5.632653e-01 , 1.040319e+01
-5.142857e-01 , 1.056617e+01
-4.653061e-01 , 1.073296e+01
-4.163265e-01 , 1.090367e+01
-3.673469e-01 , 1.107841e+01
-3.183674e-01 , 1.125731e+01
-2.693878e-01 , 1.144047e+01
-2.204082e-01 , 1.162801e+01
-1.714286e-01 , 1.182006e+01
-1.224490e-01 , 1.201672e+01
-7.346940e-02 , 1.221811e+01
-2.448981e-02 , 1.242434e+01
2.448979e-02 , 1.263554e+01
7.346939e-02 , 1.285182e+01
1.224490e-01 , 1.307312e+01
1.714286e-01 , 1.329952e+01
2.204082e-01 , 1.353160e+01
2.693878e-01 , 1.376953e+01
3.183674e-01 , 1.401345e+01
3.673469e-01 , 1.426346e+01
4.163265e-01 , 1.452004e+01
4.653061e-01 , 1.478354e+01
5.142857e-01 , 1.505392e+01
5.632653e-01 , 1.533111e+01
6.122448e-01 , 1.561554e+01
6.612244e-01 , 1.590748e+01
7.102040e-01 , 1.620666e+01
7.591836e-01 , 1.651350e+01
8.081632e-01 , 1.682862e+01
8.571427e-01 , 1.715241e+01
9.061223e-01 , 1.748525e+01
9.551019e-01 , 1.782756e+01
1.004081e+00 , 1.817971e+01
1.053061e+00 , 1.854212e+01
1.102041e+00 , 1.891517e+01
1.151020e+00 , 1.929925e+01
1.200000e+00 , 1.969477e+01
1 ,   
-1.200000e+00 , 8.331290e+00
-1.151020e+00 , 8.449472e+00
-1.102041e+00 , 8.570139e+00
-1.053061e+00 , 8.693367e+00
-1.004081e+00 , 8.819234e+00
-9.551019e-01 , 8.947817e+00
-9.061223e-01 , 9.079194e+00
-8.571427e-01 , 9.213444e+00
-8.081632e-01 , 9.350642e+00
-7.591836e-01 , 9.490867e+00
-7.102040e-01 , 9.634196e+00
-6.612244e-01 , 9.780707e+00
-6.122448e-01 , 9.930477e+00
-5.632653e-01 , 1.008270e+01
-5.142857e-01 , 1.023761e+01
-4.653061e-01 , 1.039605e+01
-4.163265e-01 , 1.055815e+01
-3.673469e-01 , 1.072403e+01
-3.183674e-01 , 1.089379e+01
-2.693878e-01 , 1.106756e+01
-2.204082e-01 , 1.124545e+01
-1.714286e-01 , 1.142758e+01
-1.224490e-01 , 1.161406e+01
-7.346940e-02 , 1.180501e+01
-2.448981e-02 , 1.200055e+01
2.448979e-02 , 1.220080e+01
