csv_format_03

Number of lines of data:
152
[number of spectra]
1
P Cal. info for CPS-2, Finger  c11,  2-mm slit
X (cm),P Energy (MeV)
-2.300000e+00 , 1.801844e+00
-2.206122e+00 , 1.831575e+00
-2.112245e+00 , 1.862041e+00
-2.018367e+00 , 1.893264e+00
-1.924490e+00 , 1.925269e+00
-1.830612e+00 , 1.958076e+00
-1.736735e+00 , 1.991710e+00
-1.642857e+00 , 2.026163e+00
-1.548980e+00 , 2.061359e+00
-1.455102e+00 , 2.097459e+00
-1.361224e+00 , 2.134495e+00
-1.267347e+00 , 2.172498e+00
-1.173469e+00 , 2.211501e+00
-1.079592e+00 , 2.251536e+00
-9.857142e-01 , 2.292635e+00
-8.918366e-01 , 2.334831e+00
-7.979591e-01 , 2.378156e+00
-7.040815e-01 , 2.422635e+00
-6.102040e-01 , 2.468215e+00
-5.163264e-01 , 2.515045e+00
-4.224489e-01 , 2.563168e+00
-3.285713e-01 , 2.612626e+00
-2.346938e-01 , 2.663462e+00
-1.408162e-01 , 2.715719e+00
-4.693867e-02 , 2.769443e+00
4.693888e-02 , 2.824671e+00
1.408164e-01 , 2.881444e+00
2.346940e-01 , 2.939773e+00
3.285715e-01 , 2.999675e+00
4.224491e-01 , 3.060874e+00
5.163266e-01 , 3.123627e+00
6.102042e-01 , 3.188202e+00
7.040817e-01 , 3.254651e+00
7.979593e-01 , 3.323055e+00
8.918368e-01 , 3.393510e+00
9.857144e-01 , 3.466097e+00
1.079592e+00 , 3.540909e+00
1.173469e+00 , 3.618033e+00
1.267347e+00 , 3.697508e+00
1.361225e+00 , 3.779402e+00
1.455102e+00 , 3.863715e+00
1.548980e+00 , 3.950573e+00
1.642857e+00 , 4.040138e+00
1.736735e+00 , 4.132501e+00
1.830612e+00 , 4.227706e+00
1.924490e+00 , 4.325964e+00
2.018367e+00 , 4.427417e+00
2.112245e+00 , 4.532205e+00
2.206122e+00 , 4.640470e+00
2.300000e+00 , 4.752353e+00
1 ,   
-2.300000e+00 , 1.782522e+00
-2.206122e+00 , 1.811526e+00
-2.112245e+00 , 1.841241e+00
-2.018367e+00 , 1.871692e+00
-1.924490e+00 , 1.902901e+00
-1.830612e+00 , 1.934893e+00
-1.736735e+00 , 1.967689e+00
-1.642857e+00 , 2.001313e+00
-1.548980e+00 , 2.035732e+00
-1.455102e+00 , 2.070960e+00
-1.361224e+00 , 2.107095e+00
-1.267347e+00 , 2.144169e+00
-1.173469e+00 , 2.182212e+00
-1.079592e+00 , 2.221254e+00
-9.857142e-01 , 2.261328e+00
-8.918366e-01 , 2.302462e+00
-7.979591e-01 , 2.344688e+00
-7.040815e-01 , 2.388037e+00
-6.102040e-01 , 2.432521e+00
-5.163264e-01 , 2.478148e+00
-4.224489e-01 , 2.525007e+00
-3.285713e-01 , 2.573135e+00
-2.346938e-01 , 2.622569e+00
-1.408162e-01 , 2.673347e+00
-4.693867e-02 , 2.725498e+00
4.693888e-02 , 2.779026e+00
1.408164e-01 , 2.834039e+00
2.346940e-01 , 2.890593e+00
3.285715e-01 , 2.948725e+00
4.224491e-01 , 3.008492e+00
5.163266e-01 , 3.069486e+00
6.102042e-01 , 3.132124e+00
7.040817e-01 , 3.196581e+00
7.979593e-01 , 3.262903e+00
8.918368e-01 , 3.331166e+00
9.857144e-01 , 3.401446e+00
1.079592e+00 , 3.473812e+00
1.173469e+00 , 3.548310e+00
1.267347e+00 , 3.625014e+00
1.361225e+00 , 3.704044e+00
1.455102e+00 , 3.785491e+00
1.548980e+00 , 3.869426e+00
1.642857e+00 , 3.955958e+00
1.736735e+00 , 4.045199e+00
1.830612e+00 , 4.137190e+00
1.924490e+00 , 4.231921e+00
2.018367e+00 , 4.329651e+00
2.112245e+00 , 4.430528e+00
2.206122e+00 , 4.534693e+00
2.300000e+00 , 4.642290e+00
1 ,   
-2.300000e+00 , 1.764251e+00
-2.206122e+00 , 1.792603e+00
-2.112245e+00 , 1.821646e+00
-2.018367e+00 , 1.851402e+00
-1.924490e+00 , 1.881893e+00
-1.830612e+00 , 1.913142e+00
-1.736735e+00 , 1.945171e+00
-1.642857e+00 , 1.978004e+00
-1.548980e+00 , 2.011663e+00
-1.455102e+00 , 2.046080e+00
-1.361224e+00 , 2.081343e+00
-1.267347e+00 , 2.117511e+00
-1.173469e+00 , 2.154614e+00
-1.079592e+00 , 2.192683e+00
-9.857142e-01 , 2.231745e+00
-8.918366e-01 , 2.271832e+00
-7.979591e-01 , 2.312972e+00
-7.040815e-01 , 2.355196e+00
-6.102040e-01 , 2.398534e+00
-5.163264e-01 , 2.442988e+00
-4.224489e-01 , 2.488597e+00
-3.285713e-01 , 2.535424e+00
-2.346938e-01 , 2.583502e+00
-1.408162e-01 , 2.632867e+00
-4.693867e-02 , 2.683554e+00
4.693888e-02 , 2.735569e+00
1.408164e-01 , 2.788932e+00
2.346940e-01 , 2.843777e+00
3.285715e-01 , 2.900168e+00
4.224491e-01 , 2.958183e+00
5.163266e-01 , 3.017871e+00
6.102042e-01 , 3.078703e+00
7.040817e-01 , 3.141263e+00
7.979593e-01 , 3.205625e+00
8.918368e-01 , 3.271785e+00
9.857144e-01 , 3.339855e+00
1.079592e+00 , 3.409919e+00
1.173469e+00 , 3.482049e+00
1.267347e+00 , 3.556304e+00
1.361225e+00 , 3.632762e+00
1.455102e+00 , 3.711517e+00
1.548980e+00 , 3.792649e+00
1.642857e+00 , 3.876195e+00
1.736735e+00 , 3.962289e+00
1.830612e+00 , 4.051055e+00
1.924490e+00 , 4.142550e+00
2.018367e+00 , 4.236820e+00
2.112245e+00 , 4.334079e+00
2.206122e+00 , 4.434465e+00
2.300000e+00 , 4.538116e+00
