csv_format_03

Number of lines of data:
152
[number of spectra]
1
P Cal. info for CPS-2, Finger d8w, 2.-mm slit
X (cm),P Energy (MeV)
-2.300000e+00 , 5.452585e+00
-2.206122e+00 , 5.579129e+00
-2.112245e+00 , 5.710156e+00
-2.018367e+00 , 5.845849e+00
-1.924490e+00 , 5.986387e+00
-1.830612e+00 , 6.131413e+00
-1.736735e+00 , 6.281741e+00
-1.642857e+00 , 6.437642e+00
-1.548980e+00 , 6.599370e+00
-1.455102e+00 , 6.767178e+00
-1.361224e+00 , 6.941320e+00
-1.267347e+00 , 7.121513e+00
-1.173469e+00 , 7.308545e+00
-1.079592e+00 , 7.502973e+00
-9.857142e-01 , 7.705191e+00
-8.918366e-01 , 7.915592e+00
-7.979591e-01 , 8.133580e+00
-7.040815e-01 , 8.360175e+00
-6.102040e-01 , 8.596296e+00
-5.163264e-01 , 8.842535e+00
-4.224489e-01 , 9.099480e+00
-3.285713e-01 , 9.367723e+00
-2.346938e-01 , 9.647855e+00
-1.408162e-01 , 9.940467e+00
-4.693867e-02 , 1.024290e+01
4.693888e-02 , 1.055912e+01
1.408164e-01 , 1.089016e+01
2.346940e-01 , 1.123694e+01
3.285715e-01 , 1.160036e+01
4.224491e-01 , 1.198134e+01
5.163266e-01 , 1.238078e+01
6.102042e-01 , 1.279959e+01
7.040817e-01 , 1.323863e+01
7.979593e-01 , 1.369893e+01
8.918368e-01 , 1.418128e+01
9.857144e-01 , 1.468828e+01
1.079592e+00 , 1.522208e+01
1.173469e+00 , 1.578415e+01
1.267347e+00 , 1.637520e+01
1.361225e+00 , 1.699805e+01
1.455102e+00 , 1.765583e+01
1.548980e+00 , 1.835144e+01
1.642857e+00 , 1.908778e+01
1.736735e+00 , 1.986764e+01
1.830612e+00 , 2.068687e+01
1.924490e+00 , 2.155729e+01
2.018367e+00 , 2.248330e+01
2.112245e+00 , 2.346930e+01
2.206122e+00 , 2.451967e+01
2.300000e+00 , 2.563277e+01
1 ,   
-2.300000e+00 , 5.332020e+00
-2.206122e+00 , 5.453785e+00
-2.112245e+00 , 5.579802e+00
-2.018367e+00 , 5.710244e+00
-1.924490e+00 , 5.845284e+00
-1.830612e+00 , 5.985093e+00
-1.736735e+00 , 6.129207e+00
-1.642857e+00 , 6.278539e+00
-1.548980e+00 , 6.433374e+00
-1.455102e+00 , 6.593974e+00
-1.361224e+00 , 6.760593e+00
-1.267347e+00 , 6.933492e+00
-1.173469e+00 , 7.112475e+00
-1.079592e+00 , 7.298214e+00
-9.857142e-01 , 7.491270e+00
-8.918366e-01 , 7.692021e+00
-7.979591e-01 , 7.900851e+00
-7.040815e-01 , 8.117211e+00
-6.102040e-01 , 8.341929e+00
-5.163264e-01 , 8.576024e+00
-4.224489e-01 , 8.820081e+00
-3.285713e-01 , 9.074684e+00
-2.346938e-01 , 9.340422e+00
-1.408162e-01 , 9.617876e+00
-4.693867e-02 , 9.907635e+00
4.693888e-02 , 1.020768e+01
1.408164e-01 , 1.052093e+01
2.346940e-01 , 1.084872e+01
3.285715e-01 , 1.119193e+01
4.224491e-01 , 1.155142e+01
5.163266e-01 , 1.192808e+01
6.102042e-01 , 1.232275e+01
7.040817e-01 , 1.273633e+01
7.979593e-01 , 1.316946e+01
8.918368e-01 , 1.362341e+01
9.857144e-01 , 1.409932e+01
1.079592e+00 , 1.459924e+01
1.173469e+00 , 1.512540e+01
1.267347e+00 , 1.567892e+01
1.361225e+00 , 1.626112e+01
1.455102e+00 , 1.687416e+01
1.548980e+00 , 1.752124e+01
1.642857e+00 , 1.820517e+01
1.736735e+00 , 1.892877e+01
1.830612e+00 , 1.969486e+01
1.924490e+00 , 2.050020e+01
2.018367e+00 , 2.135354e+01
2.112245e+00 , 2.226081e+01
2.206122e+00 , 2.322634e+01
2.300000e+00 , 2.425447e+01
1 ,   
-2.300000e+00 , 5.217559e+00
-2.206122e+00 , 5.334655e+00
-2.112245e+00 , 5.455799e+00
-2.018367e+00 , 5.581164e+00
-1.924490e+00 , 5.710925e+00
-1.830612e+00 , 5.845255e+00
-1.736735e+00 , 5.984329e+00
-1.642857e+00 , 6.127763e+00
-1.548980e+00 , 6.276372e+00
-1.455102e+00 , 6.430434e+00
-1.361224e+00 , 6.590196e+00
-1.267347e+00 , 6.755906e+00
-1.173469e+00 , 6.927812e+00
-1.079592e+00 , 7.105699e+00
-9.857142e-01 , 7.290207e+00
-8.918366e-01 , 7.481928e+00
-7.979591e-01 , 7.681239e+00
-7.040815e-01 , 7.888517e+00
-6.102040e-01 , 8.103312e+00
-5.163264e-01 , 8.326273e+00
-4.224489e-01 , 8.558471e+00
-3.285713e-01 , 8.800485e+00
-2.346938e-01 , 9.052890e+00
-1.408162e-01 , 9.316260e+00
-4.693867e-02 , 9.591174e+00
4.693888e-02 , 9.878209e+00
1.408164e-01 , 1.017572e+01
2.346940e-01 , 1.048592e+01
3.285715e-01 , 1.081040e+01
4.224491e-01 , 1.115001e+01
5.163266e-01 , 1.150559e+01
6.102042e-01 , 1.187800e+01
7.040817e-01 , 1.226809e+01
7.979593e-01 , 1.267670e+01
8.918368e-01 , 1.310445e+01
9.857144e-01 , 1.355250e+01
1.079592e+00 , 1.402227e+01
1.173469e+00 , 1.451524e+01
1.267347e+00 , 1.503370e+01
1.361225e+00 , 1.557922e+01
1.455102e+00 , 1.615306e+01
1.548980e+00 , 1.675661e+01
1.642857e+00 , 1.739322e+01
1.736735e+00 , 1.806567e+01
1.830612e+00 , 1.877675e+01
1.924490e+00 , 1.952924e+01
2.018367e+00 , 2.032147e+01
2.112245e+00 , 2.115854e+01
2.206122e+00 , 2.204797e+01
2.300000e+00 , 2.299400e+01
